,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
784,2015-08-01,5906.224180255077,4152.803010431689,6370.788921743663,5906.224180255077,5906.224180255077,-674.0917836277558,-674.0917836277558,-674.0917836277558,-719.3371362723342,-719.3371362723342,-719.3371362723342,45.24535264457832,45.24535264457832,45.24535264457832,0.0,0.0,0.0,5232.132396627321
785,2015-08-02,5906.97287038566,4686.357927639844,6707.59786801604,5906.97287038566,5906.97287038566,-171.32495060194992,-171.32495060194992,-171.32495060194992,-196.24726779328054,-196.24726779328054,-196.24726779328054,24.9223171913306,24.9223171913306,24.9223171913306,0.0,0.0,0.0,5735.64791978371
786,2015-08-03,5907.721560516244,5870.802117669103,7929.818583931262,5907.721560516244,5907.721560516244,1015.6631052397655,1015.6631052397655,1015.6631052397655,1012.8238834935132,1012.8238834935132,1012.8238834935132,2.8392217462523175,2.8392217462523175,2.8392217462523175,0.0,0.0,0.0,6923.384665756009
787,2015-08-04,5908.4702506468275,5031.19854724075,7187.1812991489105,5908.4702506468275,5908.4702506468275,202.84426856839877,202.84426856839877,202.84426856839877,223.48828323151017,223.48828323151017,223.48828323151017,-20.644014663111363,-20.644014663111363,-20.644014663111363,0.0,0.0,0.0,6111.314519215226
788,2015-08-05,5909.218940777411,4645.288344604022,6760.933643806153,5909.218940777411,5909.218940777411,-248.4369055329627,-248.4369055329627,-248.4369055329627,-203.26625168068855,-203.26625168068855,-203.26625168068855,-45.17065385227419,-45.17065385227419,-45.17065385227419,0.0,0.0,0.0,5660.782035244449
789,2015-08-06,5909.967630907994,4603.983275889643,6704.1972587197815,5909.967630907994,5909.967630907994,-253.62795618938074,-253.62795618938074,-253.62795618938074,-183.2320391997019,-183.2320391997019,-183.2320391997019,-70.39591698967884,-70.39591698967884,-70.39591698967884,0.0,0.0,0.0,5656.339674718613
790,2015-08-07,5910.716321038579,4819.4060184699365,6882.430617277495,5910.716321038579,5910.716321038579,-30.22431329145839,-30.22431329145839,-30.22431329145839,65.77052822245864,65.77052822245864,65.77052822245864,-95.99484151391702,-95.99484151391702,-95.99484151391702,0.0,0.0,0.0,5880.492007747121
791,2015-08-08,5911.465011169162,4092.8599983672975,6153.557482996328,5911.465011169162,5911.46502226578,-841.0061453303881,-841.0061453303881,-841.0061453303881,-719.3371362722366,-719.3371362722366,-719.3371362722366,-121.66900905815143,-121.66900905815143,-121.66900905815143,0.0,0.0,0.0,5070.458865838774
792,2015-08-09,5912.2137012997455,4435.4646697058515,6580.8030033058785,5912.2137012997455,5912.213740916702,-343.39924493569123,-343.39924493569123,-343.39924493569123,-196.24726779266808,-196.24726779266808,-196.24726779266808,-147.15197714302312,-147.15197714302312,-147.15197714302312,0.0,0.0,0.0,5568.814456364054
793,2015-08-10,5912.962391430329,5707.861347780158,7767.079761905716,5912.962381871563,5912.962461560245,840.6105913889762,840.6105913889762,840.6105913889762,1012.823883493242,1012.823883493242,1012.823883493242,-172.21329210426578,-172.21329210426578,-172.21329210426578,0.0,0.0,0.0,6753.572982819305
